word,reading,english_meaning,vietnamese_meaning,vietnamese_explanation,source,page,notes
仙骨,せんこつ,sacrum,xương cùng,"Xương hình tam giác ở đáy cột sống, nằm giữa hai xương chậu và truyền lực từ thân xuống chi dưới.",STOTT PILATES解剖学資料.pdf,4,
仮骨,かこつ,false ribs (in this document's rib classification context),xương sườn giả,"Trong ngữ cảnh này, chỉ các xương sườn không nối trực tiếp với xương ức bằng sụn riêng của chúng.",STOTT PILATES解剖学資料.pdf,3,Translated as 'false ribs' because that is how the source uses it; in other medical contexts 仮骨 can mean callus.
伸展,しんてん,extension,duỗi,"Chuyển động làm tăng góc giữa hai phần cơ thể, ví dụ duỗi khuỷu hoặc duỗi gối.",STOTT PILATES解剖学資料.pdf,2,
位置や方向の基本となる姿勢,いちやほうこうのきほんとなるしせい,the basic posture used to describe position and direction,tư thế chuẩn làm cơ sở mô tả vị trí và hướng,"Cụm này nói về tư thế giải phẫu chuẩn, dùng làm mốc thống nhất để mô tả vị trí và hướng trên cơ thể.",STOTT PILATES解剖学資料.pdf,1,
体幹と首の前面,たいかんとくびのぜんめん,front of the trunk and neck,mặt trước của thân mình và cổ,"Chỉ vùng phía trước của thân và cổ, nơi có nhiều cơ tham gia tư thế, hô hấp và vận động cổ.",筋肉リスト.pdf,1,
側屈,そっくつ,lateral flexion,nghiêng bên,Chuyển động nghiêng cổ hoặc thân sang một bên trong mặt phẳng trán.,STOTT PILATES解剖学資料.pdf,2,
僧帽筋,そうぼうきん,trapezius muscle,cơ thang,"Cơ lớn ở lưng trên và cổ, giúp nâng, hạ, khép và xoay xương bả vai.",STOTT PILATES解剖学資料.pdf,3,
内側広筋,ないそくこうきん,vastus medialis,cơ rộng trong,"Một phần của cơ tứ đầu đùi, nằm phía trong đùi và giúp duỗi gối, đồng thời ổn định xương bánh chè.",STOTT PILATES解剖学資料.pdf,4,
内反,ないはん,inversion,nghiêng bàn chân vào trong,Chuyển động làm lòng bàn chân hướng vào phía trong.,STOTT PILATES解剖学資料.pdf,2,
内旋,ないせん,internal rotation / medial rotation,xoay trong,Chuyển động xoay một chi quanh trục dọc sao cho mặt trước của chi hướng vào đường giữa cơ thể.,STOTT PILATES解剖学資料.pdf,2,
内肋間筋,ないろっかんきん,internal intercostal muscle,cơ gian sườn trong,"Cơ nằm giữa các xương sườn, hỗ trợ hô hấp, đặc biệt trong thở ra chủ động.",STOTT PILATES解剖学資料.pdf,3,
内腹斜筋,ないふくしゃきん,internal oblique muscle,cơ chéo bụng trong,"Cơ thành bụng giúp xoay và nghiêng thân, nén ổ bụng và hỗ trợ ổn định cột sống.",STOTT PILATES解剖学資料.pdf,3,
内転,ないてん,adduction,khép,Chuyển động đưa một bộ phận cơ thể về gần đường giữa.,STOTT PILATES解剖学資料.pdf,2,
円回内筋,えんかいないきん,pronator teres muscle,cơ sấp tròn,Cơ ở cẳng tay giúp xoay lòng bàn tay xuống và hỗ trợ gấp khuỷu.,STOTT PILATES解剖学資料.pdf,3,
分回し,ぶんまわし,circumduction,vận động vòng / xoay vòng,"Chuyển động hình nón kết hợp gấp, duỗi, dạng và khép, thường thấy ở vai hoặc hông.",STOTT PILATES解剖学資料.pdf,2,
前斜角筋,ぜんしゃかくきん,anterior scalene muscle,cơ bậc thang trước,"Cơ ở bên cổ, giúp gấp và nghiêng cổ, đồng thời nâng xương sườn thứ nhất khi hít vào.",STOTT PILATES解剖学資料.pdf,3,
前脛骨筋と後脛骨筋,ぜんけいこつきんとこうけいこつきん,tibialis anterior and tibialis posterior muscles,cơ chày trước và cơ chày sau,Hai cơ cẳng chân: cơ chày trước giúp gấp mu và nghiêng trong bàn chân; cơ chày sau giúp gấp gan chân và nâng đỡ vòm chân.,STOTT PILATES解剖学資料.pdf,4,
前腕,ぜんわん,forearm,cẳng tay,Phần chi trên nằm giữa khuỷu và cổ tay.,STOTT PILATES解剖学資料.pdf,2,
前部,ぜんぶ,front / anterior part,phần trước,Chỉ phần nằm về phía trước của một cấu trúc.,STOTT PILATES解剖学資料.pdf,3,
前鋸筋,ぜんきょきん,serratus anterior muscle,cơ răng trước,"Cơ ở thành ngực bên, giúp đưa xương bả vai ra trước và giữ xương bả vai áp sát lồng ngực.",STOTT PILATES解剖学資料.pdf,3,
前頭直筋と外側頭直筋,ぜんとうちょくきんとがいそくとうちょくきん,rectus capitis anterior and rectus capitis lateralis muscles,cơ thẳng đầu trước và cơ thẳng đầu bên,"Hai cơ nhỏ sâu ở vùng cổ trên, giúp gấp nhẹ và nghiêng đầu, đồng thời ổn định khớp đầu-cổ.",STOTT PILATES解剖学資料.pdf,3,
前額面,ぜんがくめん,frontal plane / coronal plane,mặt phẳng trán,Mặt phẳng chia cơ thể thành phần trước và phần sau; các động tác dạng và khép thường diễn ra chủ yếu trong mặt phẳng này.,STOTT PILATES解剖学資料.pdf,1,
動き,うごき,movement,chuyển động,Sự thay đổi vị trí của một bộ phận cơ thể hoặc khớp.,STOTT PILATES解剖学資料.pdf,2,
動きに対する役割,うごきにたいするやくわり,role in movement,vai trò đối với chuyển động,"Cách phân loại cơ dựa trên vai trò của chúng trong vận động, ví dụ cơ chủ vận, cơ đối kháng hoặc cơ hỗ trợ.",STOTT PILATES解剖学資料.pdf,1,
動きの断面,うごきのだんめん,planes/sections of movement,mặt phẳng của chuyển động,"Cách mô tả chuyển động theo các mặt phẳng giải phẫu như mặt phẳng dọc, trán và ngang.",STOTT PILATES解剖学資料.pdf,1,
半腱様筋,はんけんようきん,semitendinosus muscle,cơ bán gân,"Một cơ thuộc nhóm gân kheo ở mặt sau đùi, giúp gấp gối và duỗi hông.",STOTT PILATES解剖学資料.pdf,4,
半膜様筋,はんまくようきん,semimembranosus muscle,cơ bán màng,"Một cơ thuộc nhóm gân kheo, giúp gấp gối, duỗi hông và hỗ trợ xoay trong cẳng chân.",STOTT PILATES解剖学資料.pdf,4,
収縮方法,しゅうしゅくほうほう,method/type of contraction,kiểu co cơ,"Cách cơ tạo lực, ví dụ co hướng tâm, ly tâm hoặc đẳng trường.",STOTT PILATES解剖学資料.pdf,1,
呼吸,こきゅう,breathing / respiration,hô hấp,"Quá trình hít vào và thở ra để trao đổi khí, có sự tham gia của cơ hoành và các cơ gian sườn.",STOTT PILATES解剖学資料.pdf,3,
回内,かいない,pronation,sấp,"Ở cẳng tay, là động tác xoay để lòng bàn tay quay xuống hoặc ra sau trong tư thế giải phẫu.",STOTT PILATES解剖学資料.pdf,2,
回外,かいがい,supination,ngửa,"Ở cẳng tay, là động tác xoay để lòng bàn tay quay lên hoặc ra trước trong tư thế giải phẫu.",STOTT PILATES解剖学資料.pdf,2,
回外筋,かいがいきん,supinator muscle,cơ ngửa,Cơ ở cẳng tay giúp xoay cẳng tay sang tư thế ngửa.,STOTT PILATES解剖学資料.pdf,3,
回旋,かいせん,rotation,xoay,Chuyển động quay của một bộ phận cơ thể quanh trục của nó.,STOTT PILATES解剖学資料.pdf,2,
坐骨,ざこつ,ischium,xương ngồi,Phần dưới và sau của xương chậu; đây là vùng chịu trọng lượng khi ngồi.,STOTT PILATES解剖学資料.pdf,4,
外側広筋,がいそくこうきん,vastus lateralis,cơ rộng ngoài,"Một phần của cơ tứ đầu đùi, nằm phía ngoài đùi và giúp duỗi gối.",STOTT PILATES解剖学資料.pdf,4,
外反,がいはん,eversion,nghiêng bàn chân ra ngoài,Chuyển động làm lòng bàn chân hướng ra phía ngoài.,STOTT PILATES解剖学資料.pdf,2,
外旋,がいせん,external rotation / lateral rotation,xoay ngoài,Chuyển động xoay một chi quanh trục dọc sao cho mặt trước của chi hướng ra xa đường giữa cơ thể.,STOTT PILATES解剖学資料.pdf,2,
外肋間筋,がいろっかんきん,external intercostal muscle,cơ gian sườn ngoài,"Cơ nằm giữa các xương sườn, hỗ trợ nâng xương sườn khi hít vào.",STOTT PILATES解剖学資料.pdf,3,
外腹斜筋,がいふくしゃきん,external oblique muscle,cơ chéo bụng ngoài,"Cơ thành bụng giúp xoay và nghiêng thân, nén ổ bụng và hỗ trợ ổn định thân mình.",STOTT PILATES解剖学資料.pdf,3,
外転,がいてん,abduction,dạng,Chuyển động đưa một bộ phận cơ thể ra xa đường giữa.,STOTT PILATES解剖学資料.pdf,2,
外閉鎖筋と内閉鎖筋,がいへいさきんとないへいさきん,obturator externus and obturator internus muscles,cơ bịt ngoài và cơ bịt trong,Hai cơ sâu vùng hông giúp xoay ngoài đùi và ổn định chỏm xương đùi trong ổ cối.,STOTT PILATES解剖学資料.pdf,4,
多裂筋,たれつきん,multifidus muscle,cơ đa liên,"Nhóm cơ sâu dọc cột sống, giúp ổn định từng đốt sống và hỗ trợ duỗi, xoay cột sống.",STOTT PILATES解剖学資料.pdf,3,
大内転筋,だいないてんきん,adductor magnus,cơ khép lớn,"Cơ lớn ở mặt trong đùi, giúp khép hông; một phần còn hỗ trợ duỗi hông.",STOTT PILATES解剖学資料.pdf,4,
大円筋,だいえんきん,teres major,cơ tròn lớn,"Cơ nối xương bả vai với xương cánh tay, giúp khép, duỗi và xoay trong vai.",STOTT PILATES解剖学資料.pdf,3,
大後頭直筋と小後頭直筋,だいこうとうちょくきんとしょうこうとうちょくきん,rectus capitis posterior major and rectus capitis posterior minor muscles,cơ thẳng đầu sau lớn và nhỏ,"Hai cơ sâu dưới chẩm, giúp duỗi và xoay đầu, đồng thời ổn định vùng cổ trên.",STOTT PILATES解剖学資料.pdf,3,
大胸筋,だいきょうきん,pectoralis major,cơ ngực lớn,"Cơ lớn ở ngực trước, giúp khép và xoay trong cánh tay, đồng thời hỗ trợ gấp vai.",STOTT PILATES解剖学資料.pdf,3,
大腰筋,だいようきん,psoas major,cơ thắt lưng lớn,"Cơ sâu nối cột sống thắt lưng với xương đùi, là cơ gấp hông quan trọng và góp phần ổn định thân mình.",STOTT PILATES解剖学資料.pdf,4,
大腿二頭筋,だいたいにとうきん,biceps femoris,cơ nhị đầu đùi,"Một cơ gân kheo ở mặt sau đùi, giúp gấp gối và duỗi hông; đầu dài còn hỗ trợ xoay ngoài cẳng chân.",STOTT PILATES解剖学資料.pdf,4,
大腿方形筋,だいたいほうけいきん,quadratus femoris,cơ vuông đùi,"Cơ sâu ở vùng mông, giúp xoay ngoài và khép nhẹ khớp hông.",STOTT PILATES解剖学資料.pdf,4,
大腿直筋,だいたいちょくきん,rectus femoris,cơ thẳng đùi,Một phần của cơ tứ đầu đùi; vừa duỗi gối vừa hỗ trợ gấp hông.,STOTT PILATES解剖学資料.pdf,4,
大腿筋膜張筋,だいたいきんまくちょうきん,tensor fasciae latae,cơ căng mạc đùi,"Cơ ở mặt ngoài trước hông, giúp gấp, dạng và xoay trong hông, đồng thời căng dải chậu-chày.",STOTT PILATES解剖学資料.pdf,4,
大腿薄筋,だいたいはくきん,gracilis muscle,cơ thon,"Cơ dài ở mặt trong đùi, giúp khép hông và hỗ trợ gấp, xoay trong gối.",STOTT PILATES解剖学資料.pdf,4,
大臀筋,だいでんきん,gluteus maximus,cơ mông lớn,"Cơ lớn nhất vùng mông, có vai trò mạnh trong duỗi và xoay ngoài hông, đặc biệt khi đứng lên hoặc leo cầu thang.",STOTT PILATES解剖学資料.pdf,4,
大菱形筋,だいりょうけいきん,rhomboid major,cơ trám lớn,"Cơ nối cột sống với xương bả vai, giúp kéo xương bả vai vào trong và ổn định vai.",STOTT PILATES解剖学資料.pdf,3,
寛骨,かんこつ,hip bone / os coxae,xương hông,"Mỗi bên xương chậu được tạo bởi xương chậu, xương ngồi và xương mu hợp nhất.",STOTT PILATES解剖学資料.pdf,4,
小円筋,しょうえんきん,teres minor,cơ tròn bé,"Một cơ của chóp xoay, giúp xoay ngoài cánh tay và ổn định khớp vai.",STOTT PILATES解剖学資料.pdf,3,
小胸筋,しょうきょうきん,pectoralis minor,cơ ngực bé,"Cơ nằm sâu dưới cơ ngực lớn, kéo xương bả vai ra trước và xuống dưới, hỗ trợ ổn định vai.",STOTT PILATES解剖学資料.pdf,3,
小腰筋,しょうようきん,psoas minor,cơ thắt lưng bé,"Cơ nhỏ nằm trước cơ thắt lưng lớn; khi hiện diện, có thể hỗ trợ nhẹ việc gấp thân.",STOTT PILATES解剖学資料.pdf,4,
小臀筋,しょうでんきん,gluteus minimus,cơ mông bé,"Cơ sâu ở vùng mông, giúp dạng và xoay trong hông, đồng thời ổn định xương chậu khi đi bộ.",STOTT PILATES解剖学資料.pdf,4,
小菱形筋,しょうりょうけいきん,rhomboid minor,cơ trám bé,"Cơ ở lưng trên, giúp kéo và ổn định xương bả vai.",STOTT PILATES解剖学資料.pdf,3,
尺骨,しゃっこつ,ulna,xương trụ,"Một trong hai xương cẳng tay, nằm phía ngón út và tạo phần lớn khớp khuỷu với xương cánh tay.",STOTT PILATES解剖学資料.pdf,3,
尾骨,びこつ,coccyx,xương cụt,"Đoạn xương nhỏ ở tận cùng cột sống, bên dưới xương cùng.",STOTT PILATES解剖学資料.pdf,4,
尾骨筋,びこつきん,coccygeus muscle,cơ cụt,"Một cơ nhỏ của sàn chậu, hỗ trợ nâng đỡ các cơ quan vùng chậu và ổn định xương cụt.",STOTT PILATES解剖学資料.pdf,4,
屈曲,くっきょく,flexion,gấp,"Chuyển động làm giảm góc giữa hai phần cơ thể, ví dụ gấp khuỷu hoặc gấp gối.",STOTT PILATES解剖学資料.pdf,2,
広背筋,こうはいきん,latissimus dorsi,cơ lưng rộng,"Cơ lớn ở lưng, giúp duỗi, khép và xoay trong cánh tay tại khớp vai.",STOTT PILATES解剖学資料.pdf,3,
底屈,ていくつ,plantar flexion,gấp gan chân,Chuyển động đưa bàn chân xuống như khi nhón chân hoặc đạp bàn đạp.,STOTT PILATES解剖学資料.pdf,2,
後斜角筋,こうしゃかくきん,posterior scalene muscle,cơ bậc thang sau,"Cơ bên cổ, giúp nghiêng cổ và nâng xương sườn thứ hai khi hít vào.",STOTT PILATES解剖学資料.pdf,3,
後部繊維,こうぶせんい,posterior fibers,các sợi phía sau,"Chỉ phần sợi cơ nằm ở mặt sau của một cơ, thường có chức năng khác với phần trước hoặc giữa.",STOTT PILATES解剖学資料.pdf,3,
恥骨,ちこつ,pubis / pubic bone,xương mu,"Phần trước và dưới của xương hông, hai bên nối nhau tại khớp mu.",STOTT PILATES解剖学資料.pdf,4,
恥骨筋,ちこつきん,pectineus muscle,cơ lược,"Cơ ở phần trên trong đùi, giúp khép và gấp hông.",STOTT PILATES解剖学資料.pdf,4,
手足,てあし,hands and feet / limbs,tay và chân / các chi,Cách gọi chung cho phần xa của các chi; tùy ngữ cảnh có thể nhấn mạnh bàn tay và bàn chân.,STOTT PILATES解剖学資料.pdf,2,
拮抗筋,きっこうきん,antagonist muscle,cơ đối kháng,"Cơ tạo ra chuyển động ngược với cơ chủ vận, giúp kiểm soát và cân bằng vận động.",STOTT PILATES解剖学資料.pdf,1,
挙上,きょじょう,elevation,nâng lên,"Chuyển động đưa một cấu trúc lên trên, ví dụ nhún vai để nâng xương bả vai.",STOTT PILATES解剖学資料.pdf,2,
梨状筋,りじょうきん,piriformis muscle,cơ hình lê,"Cơ sâu vùng mông, giúp xoay ngoài hông và ổn định khớp háng; dây thần kinh tọa thường đi gần cơ này.",STOTT PILATES解剖学資料.pdf,4,
棘上筋,きょくじょうきん,supraspinatus,cơ trên gai,"Một cơ của chóp xoay, khởi đầu động tác dạng vai và giúp ổn định chỏm xương cánh tay.",STOTT PILATES解剖学資料.pdf,3,
棘下筋,きょくかきん,infraspinatus,cơ dưới gai,"Một cơ của chóp xoay, chủ yếu giúp xoay ngoài cánh tay và ổn định khớp vai.",STOTT PILATES解剖学資料.pdf,3,
横断面,おうだんめん,transverse plane,mặt phẳng ngang,Mặt phẳng chia cơ thể thành phần trên và dưới; các động tác xoay thường diễn ra chủ yếu trong mặt phẳng này.,STOTT PILATES解剖学資料.pdf,1,
横突間筋,おうとつかんきん,intertransversarii muscles,cơ gian mỏm ngang,"Các cơ nhỏ giữa các mỏm ngang của đốt sống, hỗ trợ nghiêng bên và ổn định cột sống.",STOTT PILATES解剖学資料.pdf,3,
横隔膜,おうかくまく,diaphragm,cơ hoành,"Cơ hô hấp chính nằm dưới phổi, co xuống khi hít vào để tăng thể tích lồng ngực.",STOTT PILATES解剖学資料.pdf,3,
橈骨,とうこつ,radius,xương quay,"Một trong hai xương cẳng tay, nằm phía ngón cái và tham gia nhiều vào chuyển động xoay cẳng tay và khớp cổ tay.",STOTT PILATES解剖学資料.pdf,3,
水平面,すいへいめん,horizontal plane,mặt phẳng ngang,"Một cách gọi khác của mặt phẳng ngang, chia cơ thể thành phần trên và dưới.",STOTT PILATES解剖学資料.pdf,1,
浮遊肋骨,ふゆうろっこつ,floating ribs,xương sườn cụt,Các xương sườn cuối không nối với xương ức ở phía trước; thường là xương sườn 11 và 12.,STOTT PILATES解剖学資料.pdf,3,
真骨,しんこつ,true ribs (in this document's rib classification context),xương sườn thật,"Trong ngữ cảnh này, chỉ các xương sườn 1–7 nối trực tiếp với xương ức qua sụn sườn.",STOTT PILATES解剖学資料.pdf,3,Translated as 'true ribs' because that is how the source uses it.
矢状面,しじょうめん,sagittal plane,mặt phẳng dọc giữa / mặt phẳng đứng dọc,Mặt phẳng chia cơ thể thành bên trái và bên phải; gấp và duỗi thường diễn ra chủ yếu trong mặt phẳng này.,STOTT PILATES解剖学資料.pdf,1,
短内転筋,たんないてんきん,adductor brevis,cơ khép ngắn,"Cơ ở mặt trong đùi, giúp khép hông và hỗ trợ gấp hông.",STOTT PILATES解剖学資料.pdf,4,
短腓骨筋,たんひこつきん,fibularis brevis / peroneus brevis,cơ mác ngắn,"Cơ ở mặt ngoài cẳng chân, giúp nghiêng bàn chân ra ngoài và hỗ trợ gấp gan chân.",STOTT PILATES解剖学資料.pdf,4,
第三腓骨金,だいさんひこつきん,fibularis tertius muscle (source likely has a typo; standard term is 第三腓骨筋),cơ mác ba,Tên trong nguồn có vẻ là lỗi OCR; thuật ngữ chuẩn là 第三腓骨筋. Cơ này giúp gấp mu và nghiêng bàn chân ra ngoài.,STOTT PILATES解剖学資料.pdf,4,Likely a PDF extraction typo for 第三腓骨筋.
筋肉,きんにく,muscle,cơ / cơ bắp,"Mô có khả năng co để tạo lực, vận động cơ thể và duy trì tư thế.",STOTT PILATES解剖学資料.pdf,1,
筋肉リスト,きんにくリスト,muscle list,danh sách cơ,Tiêu đề chỉ danh sách các cơ được dùng trong tài liệu hoặc phạm vi học.,筋肉リスト.pdf,1,
筋膜,きんまく,fascia,mạc,"Lớp mô liên kết bao quanh và liên kết cơ, nhóm cơ cùng nhiều cấu trúc khác trong cơ thể.",STOTT PILATES解剖学資料.pdf,1,
縫工筋,ほうこうきん,sartorius muscle,cơ may,"Cơ dài chạy chéo mặt trước đùi, hỗ trợ gấp, dạng và xoay ngoài hông, đồng thời gấp gối.",STOTT PILATES解剖学資料.pdf,4,
肋軟骨,ろくなんこつ,costal cartilage,sụn sườn,"Sụn nối đầu trước của nhiều xương sườn với xương ức, giúp lồng ngực có độ đàn hồi.",STOTT PILATES解剖学資料.pdf,3,
肋骨,ろっこつ,rib,xương sườn,"Các xương cong tạo nên phần lớn lồng ngực, bảo vệ tim và phổi và hỗ trợ hô hấp.",STOTT PILATES解剖学資料.pdf,3,
肘筋,ちゅうきん,anconeus muscle,cơ khuỷu,"Cơ nhỏ ở phía sau khuỷu, hỗ trợ cơ tam đầu trong duỗi khuỷu và ổn định khớp.",STOTT PILATES解剖学資料.pdf,3,
肛門挙筋,こうもんきょきん,levator ani muscle,cơ nâng hậu môn,"Nhóm cơ chính của sàn chậu, nâng đỡ các cơ quan vùng chậu và góp phần kiểm soát đại tiểu tiện.",STOTT PILATES解剖学資料.pdf,4,
股関節,こかんせつ,hip joint,khớp háng,"Khớp cầu-chỏm nối xương đùi với ổ cối của xương chậu, cho phép vận động đa hướng.",STOTT PILATES解剖学資料.pdf,2,
股関節と膝,こかんせつとひざ,hip joint and knee,khớp háng và khớp gối,Cụm chỉ hai khớp lớn của chi dưới; nhiều cơ đùi đi qua một hoặc cả hai khớp.,STOTT PILATES解剖学資料.pdf,4,
肩回旋筋群,かたかいせんきんぐん,rotator cuff muscle group,nhóm cơ chóp xoay,"Nhóm bốn cơ quanh vai gồm cơ trên gai, dưới gai, tròn bé và dưới vai; giúp ổn định và xoay khớp vai.",STOTT PILATES解剖学資料.pdf,3,
肩甲下筋,けんこうかきん,subscapularis,cơ dưới vai,"Một cơ của chóp xoay, giúp xoay trong cánh tay và ổn định chỏm xương cánh tay.",STOTT PILATES解剖学資料.pdf,3,
肩甲挙筋,けんこうきょきん,levator scapulae,cơ nâng vai,"Cơ từ cổ đến xương bả vai, giúp nâng và xoay xương bả vai xuống dưới.",STOTT PILATES解剖学資料.pdf,3,
肩甲骨,けんこうこつ,scapula / shoulder blade,xương bả vai,"Xương dẹt hình tam giác ở lưng trên, là nơi bám của nhiều cơ vai và tạo một phần khớp vai.",STOTT PILATES解剖学資料.pdf,2,
肩部と上腕部,けんぶとじょうわんぶ,shoulder region and upper arm region,vùng vai và cánh tay trên,Cụm chỉ khu vực vai và phần cánh tay từ vai đến khuỷu.,STOTT PILATES解剖学資料.pdf,3,
背屈,はいくつ,dorsiflexion,gấp mu,"Chuyển động kéo mu bàn chân về phía cẳng chân, như khi nhấc mũi chân lên.",STOTT PILATES解剖学資料.pdf,2,
背面の腹筋,はいめんのふっきん,posterior abdominal muscle(s),cơ bụng phía sau,"Cách mô tả các cơ ở thành bụng sau, ví dụ cơ vuông thắt lưng, có vai trò ổn định thân và cột sống.",STOTT PILATES解剖学資料.pdf,3,
