word,reading,english_meaning,source,page,notes
主動筋,しゅどうきん,prime mover / agonist,STOTT PILATES解剖学資料.pdf,1,
仙骨,せんこつ,sacrum,STOTT PILATES解剖学資料.pdf,4,
仮骨,かこつ,false ribs (in this document's rib classification context),STOTT PILATES解剖学資料.pdf,3,Translated as 'false ribs' because that is how the source uses it; in other medical contexts 仮骨 can mean callus.
伸展,しんてん,extension,STOTT PILATES解剖学資料.pdf,2,
位置や方向の基本となる姿勢,いちやほうこうのきほんとなるしせい,the basic posture used to describe position and direction,STOTT PILATES解剖学資料.pdf,1,
体幹と首の前面,たいかんとくびのぜんめん,front of the trunk and neck,筋肉リスト.pdf,1,
側屈,そっくつ,lateral flexion,STOTT PILATES解剖学資料.pdf,2,
僧帽筋,そうぼうきん,trapezius muscle,STOTT PILATES解剖学資料.pdf,3,
内側広筋,ないそくこうきん,vastus medialis,STOTT PILATES解剖学資料.pdf,4,
内反,ないはん,inversion,STOTT PILATES解剖学資料.pdf,2,
内旋,ないせん,internal rotation / medial rotation,STOTT PILATES解剖学資料.pdf,2,
内肋間筋,ないろっかんきん,internal intercostal muscle,STOTT PILATES解剖学資料.pdf,3,
内腹斜筋,ないふくしゃきん,internal oblique muscle,STOTT PILATES解剖学資料.pdf,3,
内転,ないてん,adduction,STOTT PILATES解剖学資料.pdf,2,
円回内筋,えんかいないきん,pronator teres muscle,STOTT PILATES解剖学資料.pdf,3,
分回し,ぶんまわし,circumduction,STOTT PILATES解剖学資料.pdf,2,
前斜角筋,ぜんしゃかくきん,anterior scalene muscle,STOTT PILATES解剖学資料.pdf,3,
前脛骨筋と後脛骨筋,ぜんけいこつきんとこうけいこつきん,tibialis anterior and tibialis posterior muscles,STOTT PILATES解剖学資料.pdf,4,
前腕,ぜんわん,forearm,STOTT PILATES解剖学資料.pdf,2,
前部,ぜんぶ,front / anterior part,STOTT PILATES解剖学資料.pdf,3,
前鋸筋,ぜんきょきん,serratus anterior muscle,STOTT PILATES解剖学資料.pdf,3,
前頭直筋と外側頭直筋,ぜんとうちょくきんとがいそくとうちょくきん,rectus capitis anterior and rectus capitis lateralis muscles,STOTT PILATES解剖学資料.pdf,3,
前額面,ぜんがくめん,frontal plane / coronal plane,STOTT PILATES解剖学資料.pdf,1,
動き,うごき,movement,STOTT PILATES解剖学資料.pdf,2,
動きに対する役割,うごきにたいするやくわり,role in movement,STOTT PILATES解剖学資料.pdf,1,
動きの断面,うごきのだんめん,planes/sections of movement,STOTT PILATES解剖学資料.pdf,1,
半腱様筋,はんけんようきん,semitendinosus muscle,STOTT PILATES解剖学資料.pdf,4,
半膜様筋,はんまくようきん,semimembranosus muscle,STOTT PILATES解剖学資料.pdf,4,
収縮方法,しゅうしゅくほうほう,method/type of contraction,STOTT PILATES解剖学資料.pdf,1,
呼吸,こきゅう,breathing / respiration,STOTT PILATES解剖学資料.pdf,3,
回内,かいない,pronation,STOTT PILATES解剖学資料.pdf,2,
回外,かいがい,supination,STOTT PILATES解剖学資料.pdf,2,
回外筋,かいがいきん,supinator muscle,STOTT PILATES解剖学資料.pdf,3,
回旋,かいせん,rotation,STOTT PILATES解剖学資料.pdf,2,
坐骨,ざこつ,ischium,STOTT PILATES解剖学資料.pdf,4,
外側広筋,がいそくこうきん,vastus lateralis,STOTT PILATES解剖学資料.pdf,4,
外反,がいはん,eversion,STOTT PILATES解剖学資料.pdf,2,
外旋,がいせん,external rotation / lateral rotation,STOTT PILATES解剖学資料.pdf,2,
外肋間筋,がいろっかんきん,external intercostal muscle,STOTT PILATES解剖学資料.pdf,3,
外腹斜筋,がいふくしゃきん,external oblique muscle,STOTT PILATES解剖学資料.pdf,3,
外転,がいてん,abduction,STOTT PILATES解剖学資料.pdf,2,
外閉鎖筋と内閉鎖筋,がいへいさきんとないへいさきん,obturator externus and obturator internus muscles,STOTT PILATES解剖学資料.pdf,4,
多裂筋,たれつきん,multifidus muscle,STOTT PILATES解剖学資料.pdf,3,
大内転筋,だいないてんきん,adductor magnus,STOTT PILATES解剖学資料.pdf,4,
大円筋,だいえんきん,teres major,STOTT PILATES解剖学資料.pdf,3,
大後頭直筋と小後頭直筋,だいこうとうちょくきんとしょうこうとうちょくきん,rectus capitis posterior major and rectus capitis posterior minor muscles,STOTT PILATES解剖学資料.pdf,3,
大胸筋,だいきょうきん,pectoralis major,STOTT PILATES解剖学資料.pdf,3,
大腰筋,だいようきん,psoas major,STOTT PILATES解剖学資料.pdf,4,
大腿二頭筋,だいたいにとうきん,biceps femoris,STOTT PILATES解剖学資料.pdf,4,
大腿方形筋,だいたいほうけいきん,quadratus femoris,STOTT PILATES解剖学資料.pdf,4,
大腿直筋,だいたいちょくきん,rectus femoris,STOTT PILATES解剖学資料.pdf,4,
大腿筋膜張筋,だいたいきんまくちょうきん,tensor fasciae latae,STOTT PILATES解剖学資料.pdf,4,
大腿薄筋,だいたいはくきん,gracilis muscle,STOTT PILATES解剖学資料.pdf,4,
大臀筋,だいでんきん,gluteus maximus,STOTT PILATES解剖学資料.pdf,4,
大菱形筋,だいりょうけいきん,rhomboid major,STOTT PILATES解剖学資料.pdf,3,
寛骨,かんこつ,hip bone / os coxae,STOTT PILATES解剖学資料.pdf,4,
小円筋,しょうえんきん,teres minor,STOTT PILATES解剖学資料.pdf,3,
小胸筋,しょうきょうきん,pectoralis minor,STOTT PILATES解剖学資料.pdf,3,
小腰筋,しょうようきん,psoas minor,STOTT PILATES解剖学資料.pdf,4,
小臀筋,しょうでんきん,gluteus minimus,STOTT PILATES解剖学資料.pdf,4,
小菱形筋,しょうりょうけいきん,rhomboid minor,STOTT PILATES解剖学資料.pdf,3,
尺骨,しゃっこつ,ulna,STOTT PILATES解剖学資料.pdf,3,
尾骨,びこつ,coccyx,STOTT PILATES解剖学資料.pdf,4,
尾骨筋,びこつきん,coccygeus muscle,STOTT PILATES解剖学資料.pdf,4,
屈曲,くっきょく,flexion,STOTT PILATES解剖学資料.pdf,2,
広背筋,こうはいきん,latissimus dorsi,STOTT PILATES解剖学資料.pdf,3,
底屈,ていくつ,plantar flexion,STOTT PILATES解剖学資料.pdf,2,
後斜角筋,こうしゃかくきん,posterior scalene muscle,STOTT PILATES解剖学資料.pdf,3,
後部繊維,こうぶせんい,posterior fibers,STOTT PILATES解剖学資料.pdf,3,
恥骨,ちこつ,pubis / pubic bone,STOTT PILATES解剖学資料.pdf,4,
恥骨筋,ちこつきん,pectineus muscle,STOTT PILATES解剖学資料.pdf,4,
手足,てあし,hands and feet / limbs,STOTT PILATES解剖学資料.pdf,2,
拮抗筋,きっこうきん,antagonist muscle,STOTT PILATES解剖学資料.pdf,1,
挙上,きょじょう,elevation,STOTT PILATES解剖学資料.pdf,2,
梨状筋,りじょうきん,piriformis muscle,STOTT PILATES解剖学資料.pdf,4,
棘上筋,きょくじょうきん,supraspinatus,STOTT PILATES解剖学資料.pdf,3,
棘下筋,きょくかきん,infraspinatus,STOTT PILATES解剖学資料.pdf,3,
横断面,おうだんめん,transverse plane,STOTT PILATES解剖学資料.pdf,1,
横突間筋,おうとつかんきん,intertransversarii muscles,STOTT PILATES解剖学資料.pdf,3,
横隔膜,おうかくまく,diaphragm,STOTT PILATES解剖学資料.pdf,3,
橈骨,とうこつ,radius,STOTT PILATES解剖学資料.pdf,3,
水平面,すいへいめん,horizontal plane,STOTT PILATES解剖学資料.pdf,1,
浮遊肋骨,ふゆうろっこつ,floating ribs,STOTT PILATES解剖学資料.pdf,3,
真骨,しんこつ,true ribs (in this document's rib classification context),STOTT PILATES解剖学資料.pdf,3,Translated as 'true ribs' because that is how the source uses it.
矢状面,しじょうめん,sagittal plane,STOTT PILATES解剖学資料.pdf,1,
短内転筋,たんないてんきん,adductor brevis,STOTT PILATES解剖学資料.pdf,4,
短腓骨筋,たんひこつきん,fibularis brevis / peroneus brevis,STOTT PILATES解剖学資料.pdf,4,
第三腓骨金,だいさんひこつきん,fibularis tertius muscle (source likely has a typo; standard term is 第三腓骨筋),STOTT PILATES解剖学資料.pdf,4,Likely a PDF extraction typo for 第三腓骨筋.
筋肉,きんにく,muscle,STOTT PILATES解剖学資料.pdf,1,
筋肉リスト,きんにくリスト,muscle list,筋肉リスト.pdf,1,
筋膜,きんまく,fascia,STOTT PILATES解剖学資料.pdf,1,
縫工筋,ほうこうきん,sartorius muscle,STOTT PILATES解剖学資料.pdf,4,
肋軟骨,ろくなんこつ,costal cartilage,STOTT PILATES解剖学資料.pdf,3,
肋骨,ろっこつ,rib,STOTT PILATES解剖学資料.pdf,3,
肘筋,ちゅうきん,anconeus muscle,STOTT PILATES解剖学資料.pdf,3,
肛門挙筋,こうもんきょきん,levator ani muscle,STOTT PILATES解剖学資料.pdf,4,
股関節,こかんせつ,hip joint,STOTT PILATES解剖学資料.pdf,2,
股関節と膝,こかんせつとひざ,hip joint and knee,STOTT PILATES解剖学資料.pdf,4,
肩回旋筋群,かたかいせんきんぐん,rotator cuff muscle group,STOTT PILATES解剖学資料.pdf,3,
肩甲下筋,けんこうかきん,subscapularis,STOTT PILATES解剖学資料.pdf,3,
肩甲挙筋,けんこうきょきん,levator scapulae,STOTT PILATES解剖学資料.pdf,3,
肩甲骨,けんこうこつ,scapula / shoulder blade,STOTT PILATES解剖学資料.pdf,2,
肩部と上腕部,けんぶとじょうわんぶ,shoulder region and upper arm region,STOTT PILATES解剖学資料.pdf,3,
背屈,はいくつ,dorsiflexion,STOTT PILATES解剖学資料.pdf,2,
背面の腹筋,はいめんのふっきん,posterior abdominal muscle(s),STOTT PILATES解剖学資料.pdf,3,
胸半棘筋,きょうはんきょくきん,semispinalis thoracis,STOTT PILATES解剖学資料.pdf,3,
胸棘筋,きょうきょくきん,spinalis thoracis,STOTT PILATES解剖学資料.pdf,3,
胸椎,きょうつい,thoracic vertebrae,STOTT PILATES解剖学資料.pdf,3,
胸腸肋筋,きょうちょうろくきん,iliocostalis thoracis,STOTT PILATES解剖学資料.pdf,3,
胸郭,きょうかく,thoracic cage / rib cage,STOTT PILATES解剖学資料.pdf,3,
胸鎖乳突筋,きょうさにゅうとつきん,sternocleidomastoid muscle,STOTT PILATES解剖学資料.pdf,3,
胸骨,きょうこつ,sternum,STOTT PILATES解剖学資料.pdf,3,
胸骨部,きょうこつぶ,sternal part,STOTT PILATES解剖学資料.pdf,3,
脊柱,せきちゅう,vertebral column / spine,STOTT PILATES解剖学資料.pdf,3,
脊柱と胸郭,せきちゅうときょうかく,vertebral column and thoracic cage,STOTT PILATES解剖学資料.pdf,3,
脊柱の後面,せきちゅうのこうめん,posterior aspect of the vertebral column,筋肉リスト.pdf,1,
脊柱の深層筋,せきちゅうのしんそうきん,deep muscles of the vertebral column,STOTT PILATES解剖学資料.pdf,3,
脚と足,あしとあし,leg and foot,STOTT PILATES解剖学資料.pdf,4,
腓腹筋,ひふくきん,gastrocnemius muscle,STOTT PILATES解剖学資料.pdf,4,
腕橈骨筋,わんとうこつきん,brachioradialis muscle,STOTT PILATES解剖学資料.pdf,3,
腰方形筋,ようほうけいきん,quadratus lumborum,STOTT PILATES解剖学資料.pdf,3,
腰椎,ようつい,lumbar vertebrae,STOTT PILATES解剖学資料.pdf,3,
腰腸肋筋,ようちょうろくきん,iliocostalis lumborum,STOTT PILATES解剖学資料.pdf,3,
腸骨,ちょうこつ,ilium,STOTT PILATES解剖学資料.pdf,4,
腸骨筋,ちょうこつきん,iliacus muscle,STOTT PILATES解剖学資料.pdf,4,
腹横筋,ふくおうきん,transversus abdominis,STOTT PILATES解剖学資料.pdf,3,
腹直筋,ふくちょくきん,rectus abdominis,STOTT PILATES解剖学資料.pdf,3,
膝窩筋,しつかきん,popliteus muscle,STOTT PILATES解剖学資料.pdf,4,
膝関節,しつかんせつ,knee joint,STOTT PILATES解剖学資料.pdf,4,
補助筋,ほじょきん,synergist / assisting muscle,STOTT PILATES解剖学資料.pdf,1,
解剖学において人体を記述する際に,かいぼうがくにおいてじんたいをきじゅつするさいに,when describing the human body in anatomy (fragment),STOTT PILATES解剖学資料.pdf,1,
解剖学的肢位とは,かいぼうがくてきしいとは,what is the anatomical position?,STOTT PILATES解剖学資料.pdf,1,
試験範囲となっています,しけんはんいとなっています,is included in the exam scope,筋肉リスト.pdf,1,
足底筋,そくていきん,plantaris muscle,STOTT PILATES解剖学資料.pdf,4,
足関節,そくかんせつ,ankle joint,STOTT PILATES解剖学資料.pdf,2,
身体の前面,しんたいのぜんめん,front/anterior side of the body,STOTT PILATES解剖学資料.pdf,3,
身体の動き,しんたいのうごき,body movements,STOTT PILATES解剖学資料.pdf,1,
身体の後面,しんたいのこうめん,back/posterior side of the body,STOTT PILATES解剖学資料.pdf,3,
身体の方向を表す,しんたいのほうこうをあらわす,expresses/describes body direction (fragment),筋肉リスト.pdf,2,
身体の構造,しんたいのこうぞう,structure of the body,STOTT PILATES解剖学資料.pdf,1,
身体の部位,しんたいのぶい,regions/parts of the body,STOTT PILATES解剖学資料.pdf,3,
運動面,うんどうめん,planes of movement,STOTT PILATES解剖学資料.pdf,1,
錐体筋,すいたいきん,pyramidalis muscle,STOTT PILATES解剖学資料.pdf,3,
鎖骨,さこつ,clavicle / collarbone,STOTT PILATES解剖学資料.pdf,3,
鎖骨下筋,さこつかきん,subclavius muscle,STOTT PILATES解剖学資料.pdf,3,
鎖骨部繊維,さこつぶせんい,clavicular fibers,STOTT PILATES解剖学資料.pdf,3,
長内転筋,ちょうないてんきん,adductor longus,STOTT PILATES解剖学資料.pdf,4,
長回旋筋と短回旋筋,ちょうかいせんきんとたんかいせんきん,long and short rotatores muscles,STOTT PILATES解剖学資料.pdf,3,
長母趾伸筋,ちょうぼししんきん,extensor hallucis longus,STOTT PILATES解剖学資料.pdf,4,
長母趾屈筋,ちょうぼしくっきん,flexor hallucis longus,STOTT PILATES解剖学資料.pdf,4,
長肋骨挙筋と短肋骨挙筋,ちょうろっこつきょきんとたんろっこつきょきん,levatores costarum longi and breves,STOTT PILATES解剖学資料.pdf,3,
長腓骨筋,ちょうひこつきん,fibularis longus / peroneus longus,STOTT PILATES解剖学資料.pdf,4,
長趾伸筋,ちょうししんきん,extensor digitorum longus,STOTT PILATES解剖学資料.pdf,4,
長趾屈筋,ちょうしくっきん,flexor digitorum longus,STOTT PILATES解剖学資料.pdf,4,
関節の運動を表す用語,かんせつのうんどうをあらわすようご,terms describing joint movements,筋肉リスト.pdf,2,
関節運動を表す用語,かんせつうんどうをあらわすようご,terms describing joint movements,STOTT PILATES解剖学資料.pdf,2,
靭帯,じんたい,ligament,STOTT PILATES解剖学資料.pdf,1,
頚半棘筋,けいはんきょくきん,semispinalis cervicis,STOTT PILATES解剖学資料.pdf,3,
頚最長筋,けいさいちょうきん,longissimus cervicis,STOTT PILATES解剖学資料.pdf,3,
頚板状筋,けいばんじょうきん,splenius cervicis,STOTT PILATES解剖学資料.pdf,3,
頚棘筋,けいきょくきん,spinalis cervicis,STOTT PILATES解剖学資料.pdf,3,
頚腸肋筋,けいちょうろくきん,iliocostalis cervicis,STOTT PILATES解剖学資料.pdf,3,
頚長筋と頭長筋,けいちょうきんととうちょうきん,longus colli and longus capitis muscles,STOTT PILATES解剖学資料.pdf,3,
頭半棘筋,とうはんきょくきん,semispinalis capitis,STOTT PILATES解剖学資料.pdf,3,
頭最長筋,とうさいちょうきん,longissimus capitis,STOTT PILATES解剖学資料.pdf,3,
頭板状筋,とうばんじょうきん,splenius capitis,STOTT PILATES解剖学資料.pdf,3,
頸椎,けいつい,cervical vertebrae,STOTT PILATES解剖学資料.pdf,3,
養成コースにおいて必要な解剖学用語,ようせいコースにおいてひつようなかいぼうがくようご,anatomical terms required in the training course,STOTT PILATES解剖学資料.pdf,1,
骨と筋肉,ほねときんにく,bones and muscles,STOTT PILATES解剖学資料.pdf,3,
骨盤,こつばん,pelvis,STOTT PILATES解剖学資料.pdf,4,
骨盤底,こつばんてい,pelvic floor,STOTT PILATES解剖学資料.pdf,4,
鳥口腕筋,うこうわんきん,coracobrachialis muscle (standard spelling is 烏口腕筋),STOTT PILATES解剖学資料.pdf,3,Source spelling; standard anatomical spelling is usually 烏口腕筋.
